"Date","adjElecProdVolume","eskomElecConsumedStationsSA","eskomElecDistSA","eskomElecProducedSA","eskomExports","eskomImports","total_Exports","total_Imports","totalElecConsumedStationsSA","totalElecDistSA_SeasonalAdj","totalElecDistSA_Unadjusted","totalElecProducedSA","unadjustedElecProdVolume","totalElecDistEC_SeasonalAdj","totalElecDistFS_SeasonalAdj","totalElecDistGAU_SeasonalAdj","totalElecDistKZN_SeasonalAdj","totalElecDistLP_SeasonalAdj","totalElecDistMP_SeasonalAdj","totalElecDistNC_SeasonalAdj","totalElecDistNW_SeasonalAdj","totalElecDistWC_SeasonalAdj","unadjustedTotalElecProducedSA"
"2007-10-01",103.7,1555,19604,21371,1252,1040,1252,1040,1625,19704,20435,20103,105.8,649,1056,5529,3940,1369,2848,427,1886,2000,22272
"2007-11-01",105.2,1489,18969,20918,1256,796,1256,796,1566,19066,19785,20144,103.6,629,1041,5311,3732,1350,2743,438,1887,1935,21810
"2007-12-01",105.2,1502,18343,20459,1233,619,1233,619,1569,18492,19160,19923,101.4,556,991,4904,3739,1357,2809,421,1801,1914,21343
"2008-01-01",104.4,1505,18551,20699,1280,638,1280,638,1591,18600,19256,19693,102.1,591,1021,5097,3753,1283,2745,438,1743,1929,21490
"2008-02-01",105.7,1379,17946,19541,1101,885,1101,885,1465,17923,18668,20290,96.7,592,975,4952,3485,1252,2677,435,1705,1850,20349
"2008-03-01",101.8,1523,18813,20671,1136,802,1136,802,1611,18811,19603,19487,102.4,611,1010,5249,3540,1328,2861,420,1818,1974,21548
"2008-04-01",103.4,1438,18271,19863,998,844,998,844,1531,18485,19127,19955,98.9,589,961,5209,3565,1341,2745,387,1791,1897,20813
"2008-05-01",102.8,1549,19513,21422,1120,761,1120,761,1639,19683,20365,19647,106.2,631,1029,5771,3678,1426,2862,402,1876,2008,22362
"2008-06-01",102.2,1436,19571,21167,1162,1002,1162,1002,1530,19871,20515,19791,105.5,638,1061,5994,3633,1412,2866,405,1864,1998,22206
"2008-07-01",103.6,1626,20730,22515,1249,1089,1249,1089,1728,20869,21610,20095,111.6,664,1142,6356,3861,1500,2907,445,1892,2102,23498
"2008-08-01",102.3,1542,19880,21566,1220,1076,1220,1076,1627,19964,20736,19907,106.9,642,1061,5815,3803,1486,2850,442,1844,2021,22508
"2008-09-01",103.1,1413,18977,20549,1203,1044,1203,1044,1500,19091,19725,20032,101.6,628,975,5367,3753,1424,2652,463,1838,1991,21384
"2008-10-01",104,1505,19420,21539,1258,645,1258,645,1577,19462,20138,19830,106.1,630,1046,5321,3872,1453,2774,495,1904,1967,22329
"2008-11-01",99.7,1443,17912,19896,1252,711,1252,711,1520,18001,18640,18983,98.4,589,1016,5012,3688,1224,2504,452,1675,1841,20702
"2008-12-01",94.2,1382,16849,18345,1189,1075,1189,1075,1448,16911,17541,18232,90.8,519,997,4543,3562,1212,2372,433,1370,1903,19102
"2009-01-01",94.2,1412,17237,18643,1096,1102,1096,1102,1483,17266,17919,18290,92.1,566,1026,4837,3604,1218,2312,460,1302,1941,19395
"2009-02-01",93.8,1239,16165,17384,979,999,979,999,1319,16055,16757,18157,85.8,515,944,4589,3334,1111,2077,396,1243,1846,18056
"2009-03-01",95.7,1463,18042,19540,1100,1064,1100,1064,1543,17903,18694,18572,96.3,582,1045,5038,3707,1300,2351,441,1383,2056,20273
"2009-04-01",97.2,1439,17245,18863,1086,906,1086,906,1511,17286,17934,18654,93.2,544,982,4756,3574,1267,2510,374,1415,1864,19624
"2009-05-01",98.2,1538,18910,20620,1109,937,1109,937,1603,18897,19548,18929,101.3,621,1063,5437,3743,1381,2654,386,1695,1917,21322
"2009-06-01",98.4,1408,19227,20723,1175,1088,1175,1088,1478,19044,19819,19104,101.6,630,1088,5727,3710,1325,2563,395,1681,1925,21384
"2009-07-01",101.5,1615,20414,22212,1223,1040,1223,1040,1688,20354,21151,19678,109.4,638,1117,6283,3884,1387,2766,434,1869,1976,23022
"2009-08-01",101.1,1578,19690,21431,1235,1072,1235,1072,1653,19649,20398,19599,105.5,642,1079,5795,3840,1390,2708,411,1783,2001,22214
"2009-09-01",102.6,1489,18725,20579,1285,920,1285,920,1559,18582,19382,19673,101.2,610,976,5100,3751,1448,2622,421,1767,1887,21306
"2009-10-01",100.4,1421,19296,20890,1288,1115,1288,1115,1485,19047,19899,19611,102.4,589,1010,5271,3827,1468,2738,434,1858,1852,21557
"2009-11-01",100.7,1357,18704,20333,1213,940,1213,940,1415,18486,19248,19581,99.5,598,998,5129,3669,1394,2555,451,1850,1842,20935
"2009-12-01",101.1,1424,18300,19875,1263,1112,1263,1112,1468,18192,18850,19620,97.2,558,986,4768,3689,1419,2638,468,1776,1890,20469
"2010-01-01",102.5,1567,18880,20541,1217,1122,1217,1122,1622,18726,19396,19791,100.3,600,1005,4992,3701,1477,2725,449,1799,1978,21113
"2010-02-01",102.3,1325,17693,19151,1128,995,1128,995,1388,17541,18181,19722,93.6,559,933,4729,3426,1374,2510,434,1705,1871,19702
"2010-03-01",103.4,1453,19633,21298,1252,1040,1252,1040,1519,19443,20186,20044,104.1,623,1040,5253,3806,1541,2825,446,1849,2060,21917
"2010-04-01",102.7,1415,18627,20281,1170,931,1170,931,1474,18436,19102,19801,98.9,593,981,5151,3655,1455,2573,396,1758,1874,20815
"2010-05-01",102.3,1535,19919,21557,1177,1074,1177,1074,1602,19718,20435,19857,105.2,662,1031,5676,3812,1543,2782,404,1884,1924,22141
"2010-06-01",103.4,1484,20193,21792,1132,1019,1132,1019,1549,20050,20800,20057,106.7,648,1086,6064,3815,1512,2781,418,1767,1959,22464
"2010-07-01",101.9,1609,20653,22352,1206,1117,1206,1117,1660,20561,21307,19864,109.5,690,1114,6253,3932,1527,2717,438,1845,2045,23056
"2010-08-01",101.7,1548,19610,21326,1275,1109,1275,1109,1623,19798,20540,19740,106.1,654,1081,5755,3810,1499,2750,406,1839,2004,22329
"2010-09-01",100.9,1473,18480,20133,1248,1068,1248,1068,1541,18482,19256,19512,99.7,615,977,5131,3719,1513,2469,401,1785,1872,20977
"2010-10-01",105.4,1601,19549,21718,1338,770,1338,770,1685,19546,20371,20078,107.5,654,1068,5319,3810,1575,2844,465,1894,1917,22624
"2010-11-01",104,1551,19030,20879,1316,1018,1316,1018,1623,18987,19702,20034,102.7,633,1005,5190,3640,1523,2764,437,1879,1916,21623
"2010-12-01",103.2,1509,18442,20229,1209,930,1209,930,1565,18380,18996,19826,99,601,980,4735,3603,1540,2730,454,1810,1927,20840
"2011-01-01",102.9,1489,18903,20437,1133,1088,1133,1088,1572,18944,19616,19966,100.9,620,1005,5043,3622,1545,2822,439,1864,1984,21233
"2011-02-01",104.7,1326,17651,19316,1069,730,1069,730,1388,17839,18455,20021,95.9,588,919,4755,3428,1450,2649,400,1738,1912,20182
"2011-03-01",105.1,1537,19674,21379,1279,1112,1279,1112,1601,19727,20518,20376,105.9,623,1072,5287,3838,1598,2870,436,1946,2057,22287
"2011-04-01",105.1,1528,18916,20721,1190,912,1190,912,1575,18828,19539,20178,101.6,611,1017,5208,3655,1507,2707,403,1832,1888,21391
"2011-05-01",106.1,1575,20076,21984,1241,907,1241,907,1638,20154,20938,20399,108.8,664,1046,5836,3865,1584,2834,421,1926,1978,22910
"2011-06-01",104.2,1464,19963,21592,1174,1009,1174,1009,1541,20209,20914,20171,107.5,672,1065,6253,3789,1571,2725,448,1710,1976,22620
"2011-07-01",102.5,1607,20219,22094,1247,979,1247,979,1681,20451,21162,19780,109.8,699,1100,6407,3909,1458,2647,457,1756,2018,23111
"2011-08-01",102.2,1567,19739,21496,1298,1108,1298,1108,1635,19889,20617,19801,106.6,697,1044,6099,3850,1428,2681,449,1640,2001,22443
"2011-09-01",103.3,1495,18771,20579,1288,974,1288,974,1561,18916,19619,19860,102.1,661,937,5287,3646,1617,2656,454,1743,1915,21493
"2011-10-01",103.9,1569,19355,21390,1378,911,1378,911,1630,19516,20198,19905,105.9,659,986,5349,3792,1668,2826,490,1833,1913,22294
"2011-11-01",104.2,1524,18937,20769,1381,1073,1381,1073,1594,18976,19763,20092,102.9,641,986,5143,3707,1622,2778,467,1705,1927,21665
"2011-12-01",103.7,1453,18337,19989,1286,1087,1286,1087,1521,18555,19189,20061,99.3,597,901,4767,3703,1605,2822,478,1748,1934,20909
"2012-01-01",103.7,1540,18910,20612,1247,1085,1247,1085,1624,18995,19676,19975,102,662,978,4932,3725,1604,2760,515,1779,2040,21462
"2012-02-01",105.1,1286,17974,19410,1212,1063,1212,1063,1363,18131,18783,20336,96.4,643,933,4855,3468,1583,2638,467,1594,1950,20296
"2012-03-01",101.3,1488,18820,20605,1242,945,1242,945,1559,18936,19623,19496,102,684,974,5122,3510,1568,2801,475,1738,2064,21479
"2012-04-01",98.5,1467,17715,19287,1174,1068,1174,1068,1527,17890,18466,19001,95.5,608,958,4881,3338,1450,2776,419,1574,1886,20099
"2012-05-01",100.7,1503,19036,20796,1322,1066,1322,1066,1576,19200,19869,19403,103.1,680,1007,5488,3529,1524,2890,434,1644,2004,21702
"2012-06-01",101.9,1469,19444,21203,1335,1044,1335,1044,1542,19665,20274,19563,105,673,1051,5960,3540,1494,2810,452,1690,1995,22107
"2012-07-01",101.7,1590,19934,21970,1350,903,1350,903,1673,20107,20743,19439,108.6,698,1086,6037,3646,1497,2829,477,1793,2044,22863
"2012-08-01",103.8,1557,19500,21886,1295,465,1295,465,1628,19705,20345,19508,108.3,700,1038,5814,3650,1500,2739,478,1742,2044,22802
"2012-09-01",102.5,1495,18348,20534,1165,474,1165,474,1560,18470,19100,19320,101.4,650,926,5190,3506,1529,2658,469,1637,1905,21351
"2012-10-01",102,1547,18607,21003,1300,451,1300,451,1615,18775,19413,19139,103.9,648,975,5027,3624,1554,2846,472,1697,1932,21877
"2012-11-01",103.7,1475,18652,20705,1233,654,1233,654,1533,18748,19426,19753,102.3,631,994,4965,3612,1547,2820,504,1787,1888,21536
"2012-12-01",101,1453,17680,19505,1160,788,1160,788,1516,17917,18456,19307,96.7,606,868,4547,3547,1502,2693,477,1748,1929,20345
"2013-01-01",100.2,1459,18178,20076,1115,676,1115,676,1521,18308,18860,19081,98.9,651,889,4823,3577,1471,2650,556,1703,1988,20819
"2013-02-01",101.3,1342,16818,18847,1095,407,1095,407,1404,16942,17493,18964,93,615,824,4491,3298,1367,2430,498,1566,1853,19584
"2013-03-01",101.6,1536,18276,20544,1187,455,1187,455,1607,18551,19202,19088,102.3,649,1098,4773,3632,1476,2643,517,1737,2026,21540
"2013-04-01",102.4,1532,17909,20013,1132,559,1132,559,1589,18191,18762,19276,99.4,634,998,4985,3544,1445,2567,438,1685,1895,20924
"2013-05-01",101.8,1566,19085,20928,1196,919,1196,919,1623,19406,19991,19560,104,688,1063,5528,3687,1504,2712,467,1768,1989,21892
"2013-06-01",102,1493,19297,21067,1158,881,1158,881,1563,19719,20270,19592,105,677,1079,5646,3635,1588,2815,472,1869,1938,22110
"2013-07-01",102.6,1609,20134,21960,1183,965,1183,965,1679,20560,21119,19841,109.3,716,1082,5910,3857,1674,2893,493,1946,1989,23015
"2013-08-01",102.7,1523,19683,21462,1185,930,1185,930,1604,20209,20689,19869,107.1,698,1042,5729,3805,1664,2865,488,1902,2016,22549
"2013-09-01",100.9,1378,18425,20131,1166,839,1166,839,1454,18808,19271,19472,100,645,964,5046,3620,1672,2669,487,1783,1922,21052
"2013-10-01",100.7,1420,18928,20694,1237,891,1237,891,1474,19331,19795,19527,102.7,656,1000,5230,3751,1647,2864,541,1823,1819,21615
"2013-11-01",100.4,1433,18112,19910,1219,854,1219,854,1489,18561,18984,19311,99,625,985,4960,3531,1580,2715,533,1788,1844,20838
"2013-12-01",100,1393,17823,19219,1056,1052,1056,1052,1463,18248,18733,19539,96,604,975,4577,3594,1605,2739,497,1727,1930,20199
"2014-01-01",101.5,1450,18623,20236,1183,1020,1183,1020,1518,18980,19457,19645,100.4,682,1025,4847,3650,1604,2905,565,1726,1976,21138
"2014-02-01",101,1336,17129,18678,1085,873,1085,873,1398,17424,17917,19391,92.8,636,914,4564,3347,1444,2660,490,1467,1902,19527
"2014-03-01",100.9,1526,18401,20292,1219,854,1219,854,1601,18910,19415,19304,101.6,672,998,5014,3637,1562,2948,523,1570,1986,21380
"2014-04-01",101.7,1477,17824,19637,999,664,999,664,1547,18386,18895,19393,98.7,645,951,4915,3560,1582,2866,454,1515,1898,20778
"2014-05-01",100.8,1538,18803,20485,1046,902,1046,902,1613,19477,19907,19491,102.9,649,1012,5429,3696,1645,2981,449,1645,1971,21664
"2014-06-01",99.8,1413,18776,20399,1092,882,1092,882,1496,19453,19891,19269,102.6,645,1030,5739,3568,1647,2871,479,1535,1939,21598
"2014-07-01",100.4,1542,19402,21171,1171,945,1171,945,1636,20261,20661,19407,107,711,1090,5898,3612,1707,3011,515,1658,2059,22524
"2014-08-01",100.8,1533,19021,20786,1167,935,1167,935,1617,19821,20255,19473,105,718,1034,5760,3512,1691,2934,491,1716,1965,22104
"2014-09-01",102,1461,18220,20008,1194,867,1194,867,1528,18977,19450,19656,101.2,722,967,5153,3440,1686,2866,516,1745,1882,21306
"2014-10-01",101.3,1470,18607,20354,1363,1086,1363,1086,1541,19363,19905,19651,103.2,758,981,5205,3556,1746,2753,522,1889,1953,21722
"2014-11-01",99.9,1444,17902,19416,1191,1120,1191,1120,1507,18612,19126,19444,98.4,707,941,4954,3357,1707,2793,463,1820,1870,20704
"2014-12-01",100.3,1401,17441,18939,1126,1029,1126,1029,1472,18281,18752,19519,96.5,663,930,4539,3386,1734,2843,508,1812,1866,20320
"2015-01-01",101.2,1446,18211,19755,1156,1057,1156,1057,1519,18952,19491,19643,100.3,723,1009,4780,3400,1709,2929,561,1880,1961,21108
"2015-02-01",100.6,1254,16888,18187,1106,1061,1106,1061,1311,17473,18060,19553,92.2,655,881,4492,3155,1551,2657,510,1752,1820,19415
"2015-03-01",102,1489,18759,20313,1228,1163,1228,1163,1558,19199,19998,19877,102.7,709,969,4986,3519,1649,2936,520,1940,1971,21621
"2015-04-01",98.7,1389,17445,18739,1050,1144,1050,1144,1457,18239,18769,19270,95.6,680,927,4739,3361,1619,2839,446,1775,1853,20132
"2015-05-01",98.3,1481,18272,19722,1161,1192,1161,1192,1557,19057,19636,19200,100.5,728,978,5074,3474,1698,2841,469,1878,1917,21162
"2015-06-01",99.1,1418,18547,20053,1139,1052,1139,1052,1514,19237,19824,19231,101.8,735,1006,5533,3388,1643,2773,464,1784,1911,21425
"2015-07-01",97.9,1513,19012,20505,1181,1201,1181,1201,1613,19815,20391,19152,104.4,786,1047,5768,3517,1610,2777,490,1830,1990,21984
"2015-08-01",96.4,1441,17869,19666,1389,1033,1389,1033,1517,18957,19236,18528,100.3,763,1001,5345,3424,1599,2636,491,1728,1970,21109
"2015-09-01",98.7,1423,17388,19110,1270,971,1270,971,1492,18399,18788,19019,97.8,725,947,4952,3321,1660,2642,501,1772,1879,20579
"2015-10-01",98.2,1477,18164,19766,1269,1144,1269,1144,1539,18919,19415,19171,100.2,741,972,4979,3367,1776,2756,529,1861,1938,21080
"2015-11-01",98.6,1351,17284,18965,1277,947,1277,947,1417,18256,18720,19001,97.2,724,942,4812,3248,1682,2672,515,1790,1871,20467
"2015-12-01",100.1,1418,17145,18852,1383,1094,1383,1094,1490,18075,18529,19262,96.5,709,984,4509,3256,1668,2753,531,1725,1940,20308
"2016-01-01",99.2,1436,17633,19350,1339,1058,1339,1058,1499,18397,18924,19074,98.4,741,1002,4663,3298,1705,2755,498,1744,1991,20704
"2016-02-01",103.8,1276,16895,18640,1398,930,1398,930,1341,17759,18190,19777,95,702,949,4632,3131,1653,2590,504,1672,1926,20000
"2016-03-01",98.2,1344,17540,19312,1427,1000,1427,1000,1412,18468,18935,18822,98.7,719,937,4842,3322,1682,2743,497,1761,1965,20774
"2016-04-01",99.8,1327,17085,18806,1371,976,1371,976,1395,18134,18535,19074,96.6,689,927,4842,3248,1669,2757,446,1695,1861,20324
"2016-05-01",99.2,1409,18083,19929,1367,930,1367,930,1482,19139,19502,18986,101.8,709,1012,5445,3364,1681,2829,425,1756,1918,21422
"2016-06-01",99.5,1415,17975,20014,1411,788,1411,788,1497,18954,19405,18801,102.3,738,1016,5640,3328,1595,2616,395,1702,1924,21526
"2016-07-01",100.7,1661,18808,21046,1439,863,1439,863,1752,19619,20297,19003,107.5,802,1054,5879,3452,1595,2696,406,1739,1996,22625
"2016-08-01",100.5,1679,17950,20236,1378,770,1378,770,1750,19123,19570,18900,104.2,806,1026,5561,3420,1618,2655,455,1741,1841,21928
"2016-09-01",100,1591,17018,19086,1385,908,1385,908,1662,18234,18679,18949,98.9,782,956,4991,3319,1588,2596,426,1760,1816,20817
"2016-10-01",100.2,1628,17670,19803,1307,802,1307,802,1686,18827,19349,19073,102.3,850,986,4986,3375,1668,2795,435,1843,1889,21540
"2016-11-01",100.7,1471,17086,19156,1419,819,1419,819,1538,18465,18790,19034,99.4,840,914,4811,3331,1582,2725,537,1829,1896,20928
"2016-12-01",100.8,1449,16577,18623,1308,711,1308,711,1520,18260,18370,19083,97.3,813,972,4486,3364,1614,2749,565,1811,1886,20487
"2017-01-01",100.1,1457,17096,19091,1239,701,1239,701,1524,18586,18820,18987,99.2,839,993,4693,3393,1633,2760,514,1820,1941,20881
"2017-02-01",100.1,1221,16038,17667,1078,670,1078,670,1284,17334,17539,19103,91.4,787,899,4489,3171,1491,2475,461,1703,1858,19231
"2017-03-01",101,1458,17809,19625,1122,765,1122,765,1521,19083,19441,19362,101.3,835,986,4930,3497,1679,2744,448,1928,2036,21320
"2017-04-01",100.7,1496,16996,18851,1150,792,1150,792,1563,18212,18550,19135,97.3,701,935,4758,3360,1605,2709,454,1843,1847,20472
"2017-05-01",103.3,1644,18668,20845,1264,731,1264,731,1711,19766,20161,19527,106.4,765,1018,5501,3534,1691,2842,480,1968,1967,22405
"2017-06-01",100.8,1560,18010,20086,1234,718,1234,718,1633,19372,19720,19059,103.9,764,1007,5666,3512,1584,2727,481,1692,1939,21869
"2017-07-01",98.8,1636,18342,20504,1290,765,1290,765,1706,19648,19997,18710,105.6,795,1038,5781,3600,1549,2710,511,1661,2003,22228
"2017-08-01",101.5,1611,18029,20181,1326,786,1326,786,1689,19563,19880,19255,105,787,1036,5668,3617,1545,2719,516,1672,2003,22110
"2017-09-01",101.2,1575,17004,19272,1340,648,1340,648,1644,18376,18707,19014,100,747,957,4939,3426,1547,2641,472,1787,1860,21043
"2017-10-01",101.3,1643,17583,19987,1448,686,1448,686,1708,19073,19352,19033,103.7,764,976,5118,3489,1671,2798,522,1826,1909,21821
"2017-11-01",102.1,1509,17133,19390,1321,572,1321,572,1576,18609,18940,19161,101,744,948,4903,3376,1657,2768,493,1853,1867,21265
"2017-12-01",102.2,1503,16602,18759,1389,734,1389,734,1569,18229,18562,19274,98.8,709,956,4542,3328,1701,2813,545,1756,1879,20787
"2018-01-01",102.9,1583,17082,19280,1414,799,1414,799,1652,18681,19106,19344,101.5,740,996,4739,3341,1724,2841,563,1806,1931,21373
"2018-02-01",102.3,1442,15942,17807,1135,712,1135,712,1500,17281,17667,19319,93.1,674,874,4479,3134,1559,2582,487,1679,1813,19590
"2018-03-01",102.6,1616,17766,19826,1204,760,1204,760,1671,18998,19470,19436,102.5,731,955,4897,3436,1762,2849,532,1877,1959,21584
"2018-04-01",100.2,1596,16757,18640,1030,744,1030,744,1658,18082,18421,19009,96.8,687,895,4810,3276,1702,2608,481,1811,1812,20366
"2018-05-01",102,1686,18475,20413,1061,810,1061,810,1757,19862,20207,19496,105.5,769,998,5491,3563,1773,2890,486,1976,1916,22216
"2018-06-01",100.7,1566,18120,20059,1169,795,1169,795,1639,19569,19926,19208,104.2,760,1017,5700,3492,1653,2759,498,1809,1881,21939
"2018-07-01",100.7,1611,18682,20693,1210,810,1210,810,1687,20243,20626,19266,107.9,792,1061,6026,3594,1709,2802,526,1816,1917,22712
"2018-08-01",101.2,1639,18099,19972,1168,935,1168,935,1727,19675,20053,19447,104.6,810,1027,5488,3639,1657,2740,521,1800,1993,22013
"2018-09-01",100.5,1576,17059,19028,1203,810,1203,810,1639,18489,18839,19151,99.2,752,919,4979,3455,1707,2429,507,1866,1875,20871
"2018-10-01",102,1669,17786,19921,1313,847,1313,847,1735,19364,19785,19454,104.5,777,999,5041,3563,1832,2824,566,1930,1832,21985
"2018-11-01",102.1,1540,17131,19175,1268,764,1268,764,1615,18791,19123,19365,100.9,743,973,4783,3423,1779,2768,551,1910,1861,21241
"2018-12-01",100.7,1465,16547,18322,1211,901,1211,901,1554,18194,18582,19299,97.1,695,960,4406,3391,1760,2757,539,1839,1847,20446
"2019-01-01",101.1,1541,17053,18795,1115,915,1115,915,1610,18785,19132,19433,99.5,734,991,4646,3461,1776,2819,595,1817,1946,20942
"2019-02-01",100.4,1374,15744,17404,1035,749,1035,749,1438,17207,17493,19138,91.3,676,879,4364,3121,1635,2486,508,1690,1848,19217
"2019-03-01",99.8,1511,17038,18980,1138,707,1138,707,1581,18617,18930,18935,99.5,724,927,4739,3421,1757,2714,559,1860,1916,20943
"2019-04-01",102,1519,16902,18852,1120,689,1120,689,1590,18353,18711,19309,98.5,728,917,4788,3330,1728,2714,487,1807,1854,20733
"2019-05-01",101.1,1652,18074,20146,1308,888,1308,888,1728,19540,19943,19158,104.9,767,974,5243,3520,1805,2877,498,1915,1941,22090
"2019-06-01",100.4,1680,17637,19888,1264,692,1264,692,1766,19240,19609,18825,104.3,757,979,5526,3402,1697,2783,511,1686,1899,21947
"2019-07-01",99.9,1739,18157,20381,1310,825,1310,825,1843,19851,20224,18856,107.1,807,1046,5865,3550,1678,2726,547,1614,2018,22552
"2019-08-01",98.7,1673,17081,19368,1380,766,1380,766,1780,18731,19105,18492,102.1,793,993,5234,3480,1633,2667,519,1432,1980,21500
"2019-09-01",100.1,1671,16723,18833,1255,817,1255,817,1737,18253,18605,18924,98.7,742,926,4869,3395,1697,2600,535,1672,1817,20781
"2019-10-01",100.1,1672,17439,19569,1358,900,1358,900,1747,19059,19367,19032,102.5,763,1005,4960,3493,1794,2783,581,1799,1881,21571
"2019-11-01",99.5,1600,16633,18695,1365,903,1365,903,1660,18263,18539,18836,98.2,733,989,4691,3326,1736,2686,560,1732,1810,20662
"2019-12-01",96.9,1522,15672,17569,1329,953,1329,953,1587,17406,17678,18387,93.3,687,921,4340,3214,1718,2625,516,1634,1751,19640
"2020-01-01",99.1,1568,16481,18412,1338,975,1338,975,1627,18164,18444,18818,97.1,737,956,4527,3344,1730,2764,515,1692,1899,20434
"2020-02-01",101.5,1482,15826,17696,1209,820,1209,820,1534,17171,17491,19175,92.2,668,900,4377,3122,1633,2560,469,1637,1805,19414
"2020-03-01",95.9,1602,16224,18299,1393,920,1393,920,1660,17740,17976,18001,95.5,704,912,4602,3308,1661,2695,474,1529,1855,20110
"2020-04-01",78.6,1448,12640,14217,1027,898,1027,898,1506,14145,14379,14789,76.1,587,748,3857,2854,1189,2221,378,824,1488,16014
"2020-05-01",87.7,1627,15632,17503,1037,794,1037,794,1680,16923,17254,16553,91.1,691,902,4782,3198,1566,2460,466,1221,1637,19177
"2020-06-01",94.1,1676,16704,18651,1058,786,1058,786,1746,18311,18664,17845,98.3,721,969,5486,3378,1618,2620,504,1331,1684,20682
"2020-07-01",95.4,1686,17515,19421,1052,832,1052,832,1788,19196,19533,18223,102.3,768,1028,5756,3541,1678,2693,521,1450,1761,21542
"2020-08-01",96,1628,16978,18821,1047,832,1047,832,1725,18669,19038,18401,99.7,781,1018,5373,3487,1677,2638,517,1393,1786,20977
"2020-09-01",97.1,1532,16234,18078,1043,731,1043,731,1615,17859,18216,18530,95.7,733,944,4714,3324,1690,2614,497,1678,1664,20143
"2020-10-01",97.4,1611,16768,18789,1177,767,1177,767,1684,18502,18883,18564,99.7,766,943,4811,3379,1785,2744,527,1842,1705,20977
"2020-11-01",97.4,1461,15893,17822,1166,698,1166,698,1529,17764,18153,18516,95.7,713,928,4568,3277,1701,2639,501,1778,1659,20150
"2020-12-01",98,1462,15698,17483,1100,776,1100,776,1537,17663,17979,18707,94.3,686,911,4350,3325,1745,2666,534,1757,1689,19839
"2021-01-01",96.3,1498,15914,17612,1058,858,1058,858,1570,17660,18002,18446,93.9,697,849,4462,3266,1735,2652,509,1772,1717,19772
"2021-02-01",97,1413,14877,16549,1002,743,1002,743,1482,16527,16825,18416,88.2,642,824,4252,3034,1585,2392,506,1668,1624,18566
"2021-03-01",97.5,1541,16505,18377,1074,743,1074,743,1613,18216,18522,18546,97.2,723,877,4674,3376,1763,2652,517,1894,1740,20466
"2021-04-01",98.6,1579,16220,18173,1164,790,1164,790,1647,17728,18078,18605,95.5,710,889,4501,3310,1737,2575,477,1847,1682,20098
"2021-05-01",98.5,1655,17272,19329,1114,711,1114,711,1731,19059,19371,18602,102.2,766,939,5199,3435,1805,2719,485,1980,1729,21505
"2021-06-01",96.6,1696,16904,19101,1073,571,1073,571,1797,18882,19049,18089,101.4,740,962,5440,3379,1675,2644,506,1863,1672,21347
"2021-07-01",98.6,1767,17773,19848,1161,853,1161,853,1868,19714,20082,18726,105.7,789,1022,5810,3387,1749,2681,539,1924,1814,22258
"2021-08-01",97.6,1652,17238,19066,1209,1033,1209,1033,1762,19082,19459,18751,101.7,810,988,5435,3464,1719,2634,513,1749,1771,21397
"2021-09-01",97.2,1542,15963,17775,1197,927,1197,927,1637,17873,18230,18577,95.7,770,887,4717,3297,1734,2497,501,1796,1675,20137
"2021-10-01",94.1,1521,15923,17886,1225,783,1225,783,1607,17878,18203,17904,96.2,745,865,4639,3278,1746,2634,473,1889,1609,20253
"2021-11-01",94,1428,15473,17082,1202,1021,1202,1021,1518,17381,17713,18114,92.2,706,859,4491,3156,1735,2532,472,1863,1566,19412
"2021-12-01",94.5,1413,15317,16852,1226,1104,1226,1104,1493,17167,17496,18200,90.8,697,831,4293,3191,1742,2538,466,1808,1602,19111
"2022-01-01",95.8,1448,15941,17484,1194,1099,1194,1099,1512,17661,17974,18493,93,759,860,4388,3246,1756,2571,495,1870,1716,19582
"2022-02-01",96.6,1375,15119,16723,1064,835,1064,835,1449,16489,16815,18386,87.9,702,797,4083,3032,1645,2391,458,1743,1638,18494
"2022-03-01",96.3,1522,16506,18261,1103,871,1103,871,1601,18027,18408,18409,96.2,772,877,4433,3365,1794,2597,467,1944,1777,20240
"2022-04-01",94.8,1525,15811,17370,937,904,937,904,1595,17394,17709,18190,91.9,749,837,4489,3098,1685,2549,446,1913,1628,19338
"2022-05-01",94.6,1555,17042,18667,982,913,982,913,1638,18525,18897,18200,97.9,787,836,4973,3309,1749,2701,464,1997,1709,20606
"2022-06-01",92.4,1528,16824,18381,947,918,947,918,1618,18523,18838,17848,97.3,778,897,5268,3328,1710,2557,481,1930,1572,20485
"2022-07-01",91,1473,16672,18313,992,823,992,823,1567,18411,18814,17572,97.6,777,806,5264,3382,1663,2512,502,1880,1626,20549
"2022-08-01",95.3,1494,16825,18452,1036,903,1036,903,1596,18878,19220,18473,99.5,811,964,5222,3501,1672,2538,521,1863,1786,20948
"2022-09-01",89.4,1395,14711,16243,990,852,990,852,1501,16576,16857,17202,87.9,709,838,4232,3189,1579,2244,477,1805,1503,18496
"2022-10-01",90.6,1440,15563,17146,1026,884,1026,884,1543,17459,17784,17524,92.5,712,866,4378,3269,1684,2525,517,1945,1562,19470
"2022-11-01",92.5,1407,14938,16608,1034,771,1034,771,1509,16918,17281,17714,90.5,696,825,4310,3157,1649,2401,476,1853,1551,19053
"2022-12-01",86.7,1282,13679,14939,965,988,965,988,1378,15894,16173,16827,83.3,613,805,3741,3049,1598,2449,480,1745,1415,17528
